Pid      Process              Block      Variable                       Value
-------- -------------------- ---------- ------------------------------ -----
    1012 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1012 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1012 svchost.exe          0x00010000 OS                             Windows_NT
    1012 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1012 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1012 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1012 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1012 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
    1012 svchost.exe          0x00010000 PROCESSOR_REVISION             4501
    1012 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
    1012 svchost.exe          0x00010000 SystemDrive                    C:
    1012 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1012 svchost.exe          0x00010000 TEMP                           C:\WINDOWS\TEMP
    1012 svchost.exe          0x00010000 TMP                            C:\WINDOWS\TEMP
    1012 svchost.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\NetworkService
    1012 svchost.exe          0x00010000 windir                         C:\WINDOWS
    1120 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1120 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1120 svchost.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1120 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1120 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1120 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1120 svchost.exe          0x00010000 OS                             Windows_NT
    1120 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1120 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1120 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
    1120 svchost.exe          0x00010000 PROCESSOR_IDENTIFIER           x86 Family 6 Model 69 Stepping 1, GenuineIntel
    1120 svchost.exe          0x00010000 PROCESSOR_LEVEL                6
    1120 svchost.exe          0x00010000 PROCESSOR_REVISION             4501
    1120 svchost.exe          0x00010000 ProgramFiles                   C:\Program Files
    1120 svchost.exe          0x00010000 SystemDrive                    C:
    1120 svchost.exe          0x00010000 SystemRoot                     C:\WINDOWS
    1120 svchost.exe          0x00010000 TEMP                           C:\DOCUME~1\NETWOR~1\LOCALS~1\Temp
    1120 svchost.exe          0x00010000 TMP                            C:\DOCUME~1\NETWOR~1\LOCALS~1\Temp
    1120 svchost.exe          0x00010000 USERDOMAIN                     NT AUTHORITY
    1120 svchost.exe          0x00010000 USERNAME                       NETWORK SERVICE
    1120 svchost.exe          0x00010000 USERPROFILE                    C:\Documents and Settings\NetworkService
    1120 svchost.exe          0x00010000 windir                         C:\WINDOWS
    1288 svchost.exe          0x00010000 ALLUSERSPROFILE                C:\Documents and Settings\All Users
    1288 svchost.exe          0x00010000 CommonProgramFiles             C:\Program Files\Common Files
    1288 svchost.exe          0x00010000 COMPUTERNAME                   XPBASELINE
    1288 svchost.exe          0x00010000 ComSpec                        C:\WINDOWS\system32\cmd.exe
    1288 svchost.exe          0x00010000 FP_NO_HOST_CHECK               NO
    1288 svchost.exe          0x00010000 NUMBER_OF_PROCESSORS           1
    1288 svchost.exe          0x00010000 OS                             Windows_NT
    1288 svchost.exe          0x00010000 Path                           C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem
    1288 svchost.exe          0x00010000 PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH
    1288 svchost.exe          0x00010000 PROCESSOR_ARCHITECTURE         x86
